mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
-385.40228,114.02637,2.8184383,45.24909,-1.8590335,22.178959,-3.2849517,2.0378804,11.114323,6.482477,10.282114,12.972414,3.0916092,4.5861335,3.8597822,-5.692442,-3.6549554,-2.8222759,-5.7566447,1.0790555,April
-376.4842,122.635765,1.3793519,42.15041,-0.69254076,19.592718,-6.464141,8.61749,11.304518,8.085878,13.260803,16.454294,4.3415093,4.0850444,4.5269966,-6.011143,-2.6084805,-1.5537553,-4.1995034,0.16203938,April
-354.92636,122.470726,-10.938237,42.649586,-6.747732,17.168264,-2.133213,3.037125,10.581675,7.0674496,13.210625,17.820795,-1.2720592,4.1040993,2.6467745,-6.451039,-2.5806816,-5.7136655,-5.4438972,0.12358073,April
-342.95282,117.6967,-3.0500183,49.969578,9.517103,2.8961394,3.9795675,14.010757,1.6545825,3.5934806,11.095215,0.16599655,5.389353,7.4974875,-8.262595,2.5652535,3.5979173,-5.684893,-2.5276012,0.18818137,Desember
-352.74313,111.96757,-2.3733766,51.70765,5.722425,2.5576782,2.1946363,13.122075,0.12843268,5.5829315,10.567289,1.3839732,6.12044,5.4105844,-9.121213,4.6731815,1.61394,-4.203428,-1.4751738,-2.4968572,Desember
-334.19168,112.15689,-8.97461,52.44414,3.109767,-3.4642994,-0.093857154,11.797006,-2.4407012,5.0628595,11.589153,-2.8017573,5.5050793,7.3235574,-11.4823475,0.35394636,1.4160061,-8.04664,-4.1806717,-1.9282622,Desember
-345.53653,113.75662,-6.7903624,48.614235,2.8406668,-0.6595187,1.690524,11.755003,0.5834767,6.079222,12.42522,0.8502354,5.2188244,6.600996,-10.000456,1.6731476,1.3338228,-5.4282017,-2.2579908,0.19262026,Desember
-336.06705,112.26632,-7.2018685,53.623215,5.5230994,-2.5406504,1.4536848,13.098402,0.39567488,5.9275713,13.589926,0.2748947,5.6808343,7.2071486,-10.443905,0.87351465,2.0728188,-6.6796594,-2.7005572,-0.09861292,Desember
-339.4257,115.12171,-4.013411,51.657555,6.288067,2.4929748,3.6325073,16.249632,4.4989805,5.80578,13.07717,0.97232467,5.7234316,8.851006,-11.08326,1.9314336,3.7124102,-4.810141,-2.8817284,0.30675492,Desember
-312.90564,115.01605,-8.476262,57.359474,1.6502612,-5.700605,0.085441634,11.771724,0.0016394277,6.330669,16.47545,-1.3862065,6.3097444,11.19796,-10.198487,0.7687415,2.3594277,-7.8344655,-1.9483416,0.4363764,Desember
-340.05228,114.52293,-2.65444,50.783577,6.4715333,1.053139,-0.45914885,12.255016,0.44477174,4.092626,13.435181,0.58234346,5.1393356,9.363406,-9.481554,0.7584767,1.9352429,-5.8628883,-3.4362862,0.31114393,Desember
-339.2655,113.8183,-4.448396,50.59804,4.1009526,-1.9863394,0.43884325,15.511649,0.9874672,4.3529835,15.425562,-0.036304213,3.1895807,7.739262,-11.328035,1.367004,2.1913414,-4.9971023,-2.3576207,-1.6486598,Desember
-340.0627,116.42431,-4.1517773,52.14603,8.080626,4.5434794,-1.5626497,15.642633,2.66836,4.9266663,15.285451,-0.2066477,3.2131226,8.550974,-10.509719,-0.26870826,2.8154626,-6.4816484,-5.0615864,-1.8005031,Desember
-332.11563,117.811554,-7.8283334,50.711056,-0.16785306,-3.360349,-0.17416975,10.807116,-2.274223,8.18477,11.700283,-0.31764638,4.6424956,8.808528,-11.242977,1.510021,1.2647507,-6.6876273,-5.2429867,-1.5305266,Desember
